支付宝交易记录明细查询
账号:[hheatherr@163.com]
起始日期:[2021-10-01 00:00:00]    终止日期:[2021-12-01 00:00:00]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2021113022001458001405658919	,10937617009670003385712765	,2021-11-30 22:00:18 ,2021-11-30 22:00:19 ,2021-11-30 22:00:19 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,高德信息技术有限公司      ,高德地图打车订单            ,6.81    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021113022001458001404561899	,9512660000482200017895204758320038	,2021-11-30 18:11:13 ,2021-11-30 18:11:14 ,2021-11-30 18:11:14 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,四川德厚餐饮管理有限公司    ,四川德厚餐饮管理5           ,21.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021113022001458001405572958	,6412660000482200017895204751355645	,2021-11-30 11:57:37 ,2021-11-30 11:57:38 ,2021-11-30 11:57:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,四川德厚餐饮管理有限公司    ,四川德厚餐饮管理1           ,39.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021113022001458001404661850	,21211130090609022640	,2021-11-30 09:06:09 ,2021-11-30 09:06:10 ,2021-11-30 09:06:10 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,舞东风(西源大道二店)     ,0993西源大道二店-条码支付     ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021113022001458001404962419	,CPR21113009050032019433869D	,2021-11-30 09:05:00 ,2021-11-30 09:05:00 ,2021-11-30 09:05:00 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,哈啰出行            ,哈啰单车骑行              ,0.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20211130353052436001 	,                    	,2021-11-30 05:37:48 ,                    ,2021-11-30 05:37:48 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2021.11.29-收益发放 ,0.11    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021112922001458001403614400	,21211129090834014361	,2021-11-29 09:08:35 ,2021-11-29 09:08:36 ,2021-11-29 09:08:36 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,舞东风(西源大道二店)     ,0993西源大道二店-条码支付     ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021112922001458001403283011	,CPR21112909072342619433869E	,2021-11-29 09:07:23 ,2021-11-29 09:07:24 ,2021-11-29 09:07:24 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,哈啰出行            ,哈啰单车骑行              ,0.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20211129346462622001 	,                    	,2021-11-29 05:16:33 ,                    ,2021-11-29 05:16:33 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2021.11.28-收益发放 ,0.11    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021112822001458001403166657	,6512660000489000000001089640421332	,2021-11-28 21:46:50 ,2021-11-28 21:46:51 ,2021-11-28 21:46:51 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,吉家超市            ,聚合支付                ,7.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
